Question,Answer,Hint Option
What is your highest educational qualification?,,"HS, UG, PG, PhD, Other"
HS,Thanks for the info! My analysis of online trends has shown a significant amount of attention being directed towards Artificial Ingelligence.,"Heard, Familiar, Know"
Familiar,Could you tell me how you think Machine Learning and Deep Learning are related?,"(AÊ_ÊB): A is the superset and B is its subset, (A | B): A is distinct from B"
(A | B): A is distinct from B,"Oops, seems like you got that one wrong! Deep Learning is a subset of Machine Learning.Deep Learning is a subset of Machine Learning. It revolves around techniques based on Artificial Neural Networks (Like my brainÊ:D)","Never Worry, Sure Thing"
Sure Thing ,Let's take a quick detour into the domain of Artificial Intelligence. Applying Artificial Intelligence to a system would have it perform tasks such as,"Yep1, Hang On1!"
Other,My analysis of online trends has shown a significant amount of attention being directed towards Artificial Ingelligence.,"Heard, Familiar, Know"
Heard,Could you tell me how you think Machine Learning and Deep Learning are related?,"ML > DL, DL > ML, DL |ML"
ML > DL,"Yep, that sounds about right!","Yep2, Hang on2!"
Yep2!,"Using the same notation, can you show me the relationship between ML, DL and AI. Use (Ê_ for superiority and | for distinction)","AI > ML > DL, ML > DL > AI, AI | ML > DL"
,,
,,
,,
,,
,,
